DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2013,0.6,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2014,0.4,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2015,2.7,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2016,0,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2017,0,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2013,2,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2014,11.1,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2015,6.4,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2016,4.6,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2017,1.7,,,,,,,,,,,,,
ADAMS ELEM.,2013,0,,,,,,,,,,,,,
ADAMS ELEM.,2014,1.3,,,,,,,,,,,,,
ADAMS ELEM.,2015,2.2,,,,,,,,,,,,,
ADAMS ELEM.,2016,1.5,,,,,,,,,,,,,
ADAMS ELEM.,2017,0,,,,,,,,,,,,,
AMES VISUAL/PERF. ARTS,2013,0,,,,,,,,,,,,,
AMES VISUAL/PERF. ARTS,2014,0.5,,,,,,,,,,,,,
AMES VISUAL/PERF. ARTS,2015,0,,,,,,,,,,,,,
AMES VISUAL/PERF. ARTS,2016,0,,,,,,,,,,,,,
AMES VISUAL/PERF. ARTS,2017,0.6,,,,,,,,,,,,,
ASHLAND ELEM. AND BR.,2013,3.9,,,,,,,,,,,,,
ASHLAND ELEM. AND BR.,2014,3.8,,,,,,,,,,,,,
ASHLAND ELEM. AND BR.,2015,0,,,,,,,,,,,,,
ASHLAND ELEM. AND BR.,2016,2.4,,,,,,,,,,,,,
ASHLAND ELEM. AND BR.,2017,1.1,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2013,2.6,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2014,3.2,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2015,3.2,,,,,,,,,,,,,
