CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2013,2013,85,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2014,2014,72,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2015,2015,66,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2016,2016,95.1,,
ACAD OF ENVT SCI/MATH ELEM  (4990),2017,2017,0,,
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2013,2013,76.6,,
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2014,2014,80.4,,
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2015,2015,75,,
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2016,2016,63.3,,
ACAD OF ENVT SCI/MATH MIDDLE  (3250),2017,2017,0,,
ADAMS ELEM.  (4000),2013,2013,69.4,,
ADAMS ELEM.  (4000),2014,2014,98.6,,
ADAMS ELEM.  (4000),2015,2015,98.1,,
ADAMS ELEM.  (4000),2016,2016,100,,
ADAMS ELEM.  (4000),2017,2017,0,,
AMES VISUAL/PERF. ARTS  (4250),2013,2013,96.6,,
AMES VISUAL/PERF. ARTS  (4250),2014,2014,100,,
AMES VISUAL/PERF. ARTS  (4250),2015,2015,98.6,,
AMES VISUAL/PERF. ARTS  (4250),2016,2016,96.8,,
AMES VISUAL/PERF. ARTS  (4250),2017,2017,0,,
ASHLAND ELEM. AND BR.  (4060),2013,2013,65.5,,
ASHLAND ELEM. AND BR.  (4060),2014,2014,96.8,,
ASHLAND ELEM. AND BR.  (4060),2015,2015,95.5,,
ASHLAND ELEM. AND BR.  (4060),2016,2016,94.4,,
ASHLAND ELEM. AND BR.  (4060),2017,2017,0,,
BEAUMONT CTE HIGH SCHOOL  (1250),2013,2013,86.4,,
BEAUMONT CTE HIGH SCHOOL  (1250),2014,2014,90.3,,
BEAUMONT CTE HIGH SCHOOL  (1250),2015,2015,0,,
BEAUMONT CTE HIGH SCHOOL  (1250),2016,2016,54.1,,
BEAUMONT CTE HIGH SCHOOL  (1250),2017,2017,0,,
BRYAN HILL ELEM.  (4180),2013,2013,77.5,,
BRYAN HILL ELEM.  (4180),2014,2014,35.3,,
BRYAN HILL ELEM.  (4180),2015,2015,97,,
BRYAN HILL ELEM.  (4180),2016,2016,95.8,,
BRYAN HILL ELEM.  (4180),2017,2017,0,,
BUDER ELEM.  (4200),2013,2013,77,,
BUDER ELEM.  (4200),2014,2014,100,,
BUDER ELEM.  (4200),2015,2015,100,,
BUDER ELEM.  (4200),2016,2016,98.1,,
BUDER ELEM.  (4200),2017,2017,0,,
BUSCH MS CHARACTER & ATHLETICS  (3050),2013,2013,94.3,,
BUSCH MS CHARACTER & ATHLETICS  (3050),2014,2014,99,,
BUSCH MS CHARACTER & ATHLETICS  (3050),2015,2015,95.8,,
BUSCH MS CHARACTER & ATHLETICS  (3050),2016,2016,96.3,,
BUSCH MS CHARACTER & ATHLETICS  (3050),2017,2017,0,,
CARDINAL GLENNON HOSPITAL  (6280),2013,2013,0,,
CARDINAL GLENNON HOSPITAL  (6280),2014,2014,0,,
CARDINAL GLENNON HOSPITAL  (6280),2015,2015,0,,
CARDINAL GLENNON HOSPITAL  (6280),2016,2016,0,,
CARDINAL GLENNON HOSPITAL  (6280),2017,,,,
CARNAHAN SCH. OF THE FUTURE  (1500),2013,2013,97.3,,
