National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2015-2016 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (33) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
00752797,CARDINAL RITTER COLLEGE PREP HIGH SCHOOL,14,17,701 N SPRING AVE,SAINT LOUIS,29510,510,MO,29,63108,3144465500,176,6.5,Yes,,,,,,,,,,,,105,56,36,65,262,262,0,0,4,258,0,0,0,21,11,1,1,2,1,1,0,0,1.53,98.47,0,0,0,12.48,1,ST. LOUIS CITY,Other school association(s),,,,,,,
00755062,CENTRAL INSTITUTE FOR THE DEAF,2,11,825 S TAYLOR AVE,SAINT LOUIS,29510,510,MO,29,63110,3149770132,176,6.5,Yes,,43,13,9,2,2,4,2,1,,,,,,,76,33,0,6,2,10,15,0,0,6,11,1,4,1,3,1,0,18.18,6.06,30.3,45.45,0,0,5.5,30,ST. LOUIS CITY,Other school association(s),,,,,,,
AA000373,CROSSROADS COLLEGE PREPARATORY SCHOOL,12,17,500 DE BALIVIERE AVE,SAINT LOUIS,29510,510,MO,29,63112,3143678085,171,7.25,Yes,,,,,,,,,,32,28,43,41,43,36,223,223,1,13,3,59,135,0,12,22.3,11,1,1,2,3,1,0.45,5.83,1.35,26.46,60.54,0,5.38,10,30,ST. LOUIS CITY,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
A0701411,DEPT OF SPECIAL EDUCATION,5,17,4445 LINDELL BLVD,SAINT LOUIS,29510,510,MO,29,63108,3147927327,180,8,Yes,,,4,3,4,2,4,13,16,12,9,2,,,1,70,70,0,2,1,26,38,0,3,14.1,11,1,4,3,1,1,0,2.86,1.43,37.14,54.29,0,4.29,4.96,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),,,,,,,
A1371196,FOREST PARK MONTESSORI SCHOOL,2,3,2109 S SPRING AVE,SAINT LOUIS,29510,510,MO,29,63110,3145356873,140,3.5,No,,26,3,,,,,,,,,,,,,29,3,0,0,0,0,3,0,0,1,11,1,2,1,3,1,0,0,0,0,100,0,0,3,30,ST. LOUIS CITY,This school does not belong to ANY associations or organizations,,,,,,,
01653707,FORSYTH SCHOOL,2,11,6235 WYDOWN BLVD,SAINT LOUIS,29510,510,MO,29,63105,3147264542,170,7.25,Yes,,55,44,40,51,46,47,47,45,,,,,,,375,320,0,24,4,18,228,0,46,37.3,11,1,1,1,3,1,0,7.5,1.25,5.63,71.25,0,14.38,8.58,30,ST. LOUIS CITY,National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,
A0105662,LOYOLA ACADEMY OF ST LOUIS,11,13,3851 WASHINGTON BLVD,SAINT LOUIS,29510,510,MO,29,63108,3145319091,200,9.67,Yes,,,,,,,,,22,19,18,,,,,59,59,0,0,2,55,0,0,2,7.8,11,3,1,1,1,1,0,0,3.39,93.22,0,0,3.39,7.56,1,ST. LOUIS CITY,Other religious school association(s),,,,,,,
A1502213,LUTHERAN ASSN FOR SPEC ED,14,17,3558 S JEFFERSON AVE,SAINT LOUIS,29510,510,MO,29,63118,3142681234,174,7,No,,,,,,,,,,,,3,3,4,1,11,11,0,1,0,3,7,0,0,14,11,1,4,2,2,1,0,9.09,0,27.27,63.64,0,0,0.79,20,ST. LOUIS CITY,State or regional independent school association,,,,,,,
A0105672,MARIAN MIDDLE SCHOOL,10,13,4130 WYOMING ST,SAINT LOUIS,29510,510,MO,29,63116,3147717674,192,9.5,Yes,,,,,,,,10,19,20,19,,,,,68,68,0,1,11,49,4,0,3,5.6,11,2,6,1,1,1,0,1.47,16.18,72.06,5.88,0,4.41,12.14,1,ST. LOUIS CITY,Other religious school association(s),National Coalition of Girls' Schools (NCGS),,,,,,
00752538,MOST HOLY TRINITY CATHOLIC SCHOOL AND ACADEMY,3,13,1435 MALLINCKRODT ST,SAINT LOUIS,29510,510,MO,29,63107,3142319014,179,9.5,Yes,,,15,17,14,1,15,18,17,11,9,,,,,117,117,0,0,0,109,3,0,5,11.5,11,1,1,1,1,1,0,0,0,93.16,2.56,0,4.27,10.17,1,ST. LOUIS CITY,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,
