SUP AREA,YEAR,CDC,DISTRICT NAME,SCHL CODE,SCHOOL NAME,BEG GRADE,END GRADE,EXIST 3 YRS,S1 ELA,S1 MA,S1 SC,S1 SS,S2 ELA,S2 MA,S2 SC,S2 SS,S3 1-3,S3 4,S3 5-6,S3 HSR,S4 Att,S5 Grad,Total Pts Ernd,Total Pts Poss,Pct Pts Ernd,,KEY
I,2017,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,07,12,Y,*,*,9,8,*,*,2,2,10,10,10,0,10,30,*,140.0,*,,
I,2016,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,07,12,Y,15,16,16,8,4,4,3,1.5,10,8,10,0,10,30,135.5,140.0,96.8%,,S1 ELA = Standard 1 - English Language Arts
I,2015,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,07,12,Y,15,16,12,5,2,4,3,1,10,8,7.5,0,10,30,125.5,140.0,89.6%,,S1 MA = Standard 1 - Mathematics
I,2014,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,07,12,Y,15,16,16,0,4,4,4,0,8,8,6,0,10,30,121.0,140.0,86.4%,,S1 SC = Standard 1 - Science
I,2017,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM., K,06,Y,16,15,9,0,4,4,2,0,0,0,0,0,10,0,61.0,70.0,87.1%,,S1 SS = Standard 1 - Social Studies
I,2016,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM., K,06,Y,9,15,9,0,4,4,2,0,0,0,0,0,10,0,61.0,70.0,87.1%,,S2 ELA = Standard 2 (Super Subgroup) - English Language Arts
I,2015,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM., K,06,Y,16,15,16,0,4,4,4,0,0,0,0,0,10,0,70.0,70.0,100.0%,,S2 MA = Standard 2 - Mathematics
I,2014,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM., K,06,Y,15,16,16,0,2,4,4,0,0,0,0,0,10,0,67.0,70.0,95.7%,,S2 SC = Standard 2 - Science
I,2017,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,09,12,Y,*,*,16,8,*,*,3,2,10,10,7.5,0,8,30,*,140.0,*,,S2 SS = Standard 2 - Social Studies
I,2016,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,09,12,Y,16,16,16,0,4,4,4,0,10,10,10,0,6,30,126.0,140.0,90.0%,,"S3 1-3 = Standard 3 Indicators 1-3 (ACT, SAT, COMPASS, ASVAB, WorkKeys)"
