SCHOOL_NAME_label,SCHOOL_NAME_GROUP_YEAR_label,SCHOOL_NAME_GROUP_YEAR_Value_X,SCHOOL_NAME_GROUP_YEAR_Value_Y,,,
BEAUMONT CTE HIGH SCHOOL,2013,2013,2013,,,
BEAUMONT CTE HIGH SCHOOL,2014,2014,2014,,,
BEAUMONT CTE HIGH SCHOOL,2015,2015,2015,,,
BEAUMONT CTE HIGH SCHOOL,2016,2016,2016,,,
BEAUMONT CTE HIGH SCHOOL,2017,2017,2017,,,
CARNAHAN SCH. OF THE FUTURE,2013,2013,2013,,,
CARNAHAN SCH. OF THE FUTURE,2014,2014,2014,,,
CARNAHAN SCH. OF THE FUTURE,2015,2015,2015,,,
CARNAHAN SCH. OF THE FUTURE,2016,2016,2016,,,
CARNAHAN SCH. OF THE FUTURE,2017,2017,2017,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2013,2013,2013,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2014,2014,2014,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2015,2015,2015,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2016,2016,2016,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2017,2017,2017,,,
CLEVELAND NJROTC ACADEMY,2013,2013,2013,,,
CLEVELAND NJROTC ACADEMY,2014,2014,2014,,,
CLEVELAND NJROTC ACADEMY,2015,2015,2015,,,
CLEVELAND NJROTC ACADEMY,2016,2016,2016,,,
CLEVELAND NJROTC ACADEMY,2017,2017,2017,,,
COLLEGIATE SCHOOL OF MED/BIO,2013,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2014,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2015,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2016,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2017,2017,2017,,,
COMMUNITY ACCESS JOB TRAINING,2013,2013,2013,,,
COMMUNITY ACCESS JOB TRAINING,2014,2014,2014,,,
COMMUNITY ACCESS JOB TRAINING,2015,2015,2015,,,
COMMUNITY ACCESS JOB TRAINING,2016,2016,2016,,,
COMMUNITY ACCESS JOB TRAINING,2017,2017,2017,,,
GATEWAY HIGH,2013,2013,2013,,,
GATEWAY HIGH,2014,2014,2014,,,
GATEWAY HIGH,2015,2015,2015,,,
GATEWAY HIGH,2016,2016,2016,,,
GATEWAY HIGH,2017,2017,2017,,,
MCKINLEY CLASS. LEADERSHIP AC.,2013,2013,2013,,,
MCKINLEY CLASS. LEADERSHIP AC.,2014,2014,2014,,,
MCKINLEY CLASS. LEADERSHIP AC.,2015,2015,2015,,,
MCKINLEY CLASS. LEADERSHIP AC.,2016,2016,2016,,,
MCKINLEY CLASS. LEADERSHIP AC.,2017,2017,2017,,,
METRO HIGH,2013,2013,2013,,,
