Chart1_SeriesGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_X,Chart1_SeriesGroup_Chart1_CategoryGroup_Value_Y,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2013,2013,786,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2014,2014,505,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2015,2015,328,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2016,2016,261,,,,,,,
ACAD OF ENVT SCI/MATH ELEM,2017,2017,238,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2013,2013,409,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2014,2014,306,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2015,2015,282,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2016,2016,216,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE,2017,2017,180,,,,,,,
ADAMS ELEM.,2013,2013,279,,,,,,,
ADAMS ELEM.,2014,2014,314,,,,,,,
ADAMS ELEM.,2015,2015,278,,,,,,,
ADAMS ELEM.,2016,2016,271,,,,,,,
ADAMS ELEM.,2017,2017,250,,,,,,,
AMES VISUAL/PERF. ARTS,2013,2013,416,,,,,,,
AMES VISUAL/PERF. ARTS,2014,2014,364,,,,,,,
AMES VISUAL/PERF. ARTS,2015,2015,345,,,,,,,
AMES VISUAL/PERF. ARTS,2016,2016,363,,,,,,,
AMES VISUAL/PERF. ARTS,2017,2017,338,,,,,,,
ASHLAND ELEM. AND BR.,2013,2013,336,,,,,,,
ASHLAND ELEM. AND BR.,2014,2014,341,,,,,,,
ASHLAND ELEM. AND BR.,2015,2015,329,,,,,,,
ASHLAND ELEM. AND BR.,2016,2016,292,,,,,,,
ASHLAND ELEM. AND BR.,2017,2017,267,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2013,2013,152,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2014,2014,63,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2015,2015,442,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2016,2016,456,,,,,,,
BEAUMONT CTE HIGH SCHOOL,2017,2017,575,,,,,,,
BRYAN HILL ELEM.,2013,2013,187,,,,,,,
BRYAN HILL ELEM.,2014,2014,170,,,,,,,
BRYAN HILL ELEM.,2015,2015,184,,,,,,,
BRYAN HILL ELEM.,2016,2016,154,,,,,,,
BRYAN HILL ELEM.,2017,2017,180,,,,,,,
BUDER ELEM.,2013,2013,349,,,,,,,
BUDER ELEM.,2014,2014,315,,,,,,,
BUDER ELEM.,2015,2015,325,,,,,,,
BUDER ELEM.,2016,2016,342,,,,,,,
BUDER ELEM.,2017,2017,320,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2013,2013,353,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2014,2014,330,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2015,2015,349,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2016,2016,346,,,,,,,
BUSCH MS CHARACTER & ATHLETICS,2017,2017,357,,,,,,,
CARDINAL GLENNON HOSPITAL,2013,2013,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2014,2014,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2015,2015,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2016,2016,0,,,,,,,
CARDINAL GLENNON HOSPITAL,2017,,0,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2013,2013,344,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2014,2014,374,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2015,2015,414,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2016,2016,383,,,,,,,
CARNAHAN SCH. OF THE FUTURE,2017,2017,357,,,,,,,
CARR LANE VPA MIDDLE,2013,2013,559,,,,,,,
CARR LANE VPA MIDDLE,2014,2014,610,,,,,,,
CARR LANE VPA MIDDLE,2015,2015,557,,,,,,,
CARR LANE VPA MIDDLE,2016,2016,563,,,,,,,
CARR LANE VPA MIDDLE,2017,2017,545,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2013,2013,388,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2014,2014,402,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2015,2015,396,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2016,2016,408,,,,,,,
CENTRAL VISUAL/PERF. ARTS HIGH,2017,2017,411,,,,,,,
CLAY ELEM.,2013,2013,139,,,,,,,
CLAY ELEM.,2014,2014,145,,,,,,,
CLAY ELEM.,2015,2015,164,,,,,,,
CLAY ELEM.,2016,2016,116,,,,,,,
CLAY ELEM.,2017,2017,140,,,,,,,
CLEVELAND NJROTC ACADEMY,2013,2013,279,,,,,,,
CLEVELAND NJROTC ACADEMY,2014,2014,299,,,,,,,
CLEVELAND NJROTC ACADEMY,2015,2015,290,,,,,,,
CLEVELAND NJROTC ACADEMY,2016,2016,269,,,,,,,
CLEVELAND NJROTC ACADEMY,2017,2017,306,,,,,,,
COLE ELEM.,2013,2013,299,,,,,,,
COLE ELEM.,2014,2014,339,,,,,,,
COLE ELEM.,2015,2015,382,,,,,,,
COLE ELEM.,2016,2016,352,,,,,,,
COLE ELEM.,2017,2017,357,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2013,,0,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2014,2014,61,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2015,2015,110,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2016,2016,174,,,,,,,
COLLEGIATE SCHOOL OF MED/BIO,2017,2017,224,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2013,2013,198,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2014,2014,221,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2015,2015,182,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2016,2016,125,,,,,,,
COLUMBIA ELEM. COMM. ED. CTR.,2017,2017,157,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2013,2013,132,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2014,2014,119,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2015,2015,136,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2016,2016,143,,,,,,,
COMMUNITY ACCESS JOB TRAINING,2017,2017,138,,,,,,,
COMPTON-DREW ILC MIDDLE,2013,2013,535,,,,,,,
