GraduationRates_Chart_SeriesGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_label,GraduationRates_Chart_SeriesGroup_GraduationRates_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,0,,,,,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,0,,,,,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,0,,,,,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2016,0,,,,,,,,,,,,,,,,,
ACAD OF ENVT SCI/MATH MIDDLE (3250),2017,0,,,,,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL (1250),2013,27.75,,,,,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL (1250),2014,51.54,,,,,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL (1250),2015,64.29,,,,,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL (1250),2016,27.65,,,,,,,,,,,,,,,,,
BEAUMONT CTE HIGH SCHOOL (1250),2017,46.08,,,,,,,,,,,,,,,,,
BIG PICTURE ELEM. ALT. (1021),2013,0,,,,,,,,,,,,,,,,,
BIG PICTURE ELEM. ALT. (1021),2014,0,,,,,,,,,,,,,,,,,
BIG PICTURE ELEM. ALT. (1021),2015,,,,,,,,,,,,,,,,,,
BIG PICTURE ELEM. ALT. (1021),2016,,,,,,,,,,,,,,,,,,
BIG PICTURE ELEM. ALT. (1021),2017,,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2013,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2014,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2015,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2016,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2017,,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE ALT. (1022),2013,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE ALT. (1022),2014,0,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE ALT. (1022),2015,,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE ALT. (1022),2016,,,,,,,,,,,,,,,,,,
BIG PICTURE MIDDLE ALT. (1022),2017,,,,,,,,,,,,,,,,,,
BLEWETT MIDDLE (3020),2013,0,,,,,,,,,,,,,,,,,
BLEWETT MIDDLE (3020),2014,0,,,,,,,,,,,,,,,,,
BLEWETT MIDDLE (3020),2015,0,,,,,,,,,,,,,,,,,
BLEWETT MIDDLE (3020),2016,0,,,,,,,,,,,,,,,,,
BLEWETT MIDDLE (3020),2017,0,,,,,,,,,,,,,,,,,
BLOW MIDDLE (3040),2013,0,,,,,,,,,,,,,,,,,
BLOW MIDDLE (3040),2014,,,,,,,,,,,,,,,,,,
BLOW MIDDLE (3040),2015,,,,,,,,,,,,,,,,,,
BLOW MIDDLE (3040),2016,,,,,,,,,,,,,,,,,,
BLOW MIDDLE (3040),2017,,,,,,,,,,,,,,,,,,
