CTYDIST,DNAME,SCHNUM,SCHNAME,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,PRINLN,PRINFN,PRINMI,PRINSAL,PRINYREX,PRINTITL,SCHEMAIL,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,DCOUNTY,DSUPAREA,HouseDistricts,SenateDistricts,CongressionalDistricts,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG
115115,St. Louis City ,4990,Acad Of Envt Sci/Math Elem ,3325 Bell,,St. Louis ,631060000,3149321464,, K,5,Clay ,Brandon ,,Mr.,7,Prin. ,BRANDON.CLAY@SLPS.ORG,25,245,0,245,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,3250,Acad Of Envt Sci/Math Middle ,3021 Hickey St. ,,St. Louis ,631040000,3149321465,,6,8,Perry ,Ceandre ,,Mr.,8,Prin. ,CEANDRE.PERRY@SLPS.ORG,23,286,0,286,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02", ,Y, , , , 
115115,St. Louis City ,4000,Adams Elem. ,1311 Tower Grove Avenue ,,St. Louis ,631103837,3145353910,3145353949,PK,6,Miller ,Felecia ,,Ms.,19,Prin. ,FELECIA.MILLER@SLPS.ORG,23,269,0,269,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,4250,Ames Visual/Perf. Arts ,2900 Hadley ,,St. Louis ,631073911,3142417165,3142311607,PK,5,Parks-Prince ,Javeeta ,M,Ms.,21,Prin. ,JAVETTA.PARKS@SLPS.ORG,34,374,0,374,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,4060,Ashland Elem. and Br. ,3921 N Newstead ,,St. Louis ,631152748,3143854767,3143856129,PK,6,Boddie ,Paula ,,Ms.,30,Prin. ,PAULA.BODDIE@SLPS.ORG,24,285,0,285,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,1250,Beaumont Cte High School ,3836 Natural Bridge Avenue ,,St. Louis ,631072003,3145332410,3145350786,9,12,Williams ,Felita ,,Ms.,11,Prin. ,FELITA.WILLIAMS@SLPS.ORG,49,582,1,583,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02", , , ,Y, , 
115115,St. Louis City ,4180,Bryan Hill Elem. ,4342 Aldine ,,St. Louis ,631132702,3145340370,3145357864,PK,5,Briscoe ,Sarah ,,Dr.,21,Prin. ,SARAH.BRISCOE@SLPS.ORG,18,202,0,202,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,4200,Buder Elem. ,5319 Lansdowne Avenue ,,St. Louis ,631092311,3143524343,3143523150,PK,5,Russell ,Anna ,,Ms.,8,Prin. ,ANNA.RUSSELL@SLPS.ORG,38,380,0,380,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02",Y, , , , , 
115115,St. Louis City ,3050,Busch Ms Character & Athletics ,5910 Clifton Avenue ,,St. Louis ,631093407,3143521043,3143523685,6,8,Lescher ,Robert ,E,Mr.,20,Prin. ,ROBERT.LESCHER@SLPS.ORG,26,341,0,341,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02", ,Y, , , , 
115115,St. Louis City ,1500,Carnahan School Of The Future ,4041 S Broadway ,,St. Louis ,631184603,3144570582,3144579741,9,12,Griffin ,Jonathan ,,Mr.,9,Prin. ,JONATHAN.GRIFFIN@SLPS.ORG,34,361,0,361,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02", , , ,Y, , 
115115,St. Louis City ,3070,Carr Lane Vpa Middle ,1004 N Jefferson Avenue ,,St. Louis ,631062203,3142310413,3142411213,6,8,Young ,Darwin ,,Mr.,4,Prin. ,DARWIN.YOUNG@SLPS.ORG,42,543,0,543,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","4  , 5  ","01, 02", ,Y, , , , 
