,Zip Code,School Number,School_Name,School Address,Grade Levels,Size,Total Funding,Students_Per_Teacher,Students_Per_Classroom,Students_Per_Admin,Avg_AYP,Avg_Incident,Graduation_Rate,ACT_Composite,%Grads_atorabove_NatlAvg,Percent_HQT,Teacher_Salary_Avg,Admin_Salary_Avg,Years_Experience_Avg,MA_Plus_Percent
0,63106,4990,ACAD OF ENVT SCI/MATH ELEM,3325 Bell,Elementary    ,423.6,6201204.0912,15.25,16.75,276.0,0.6404761904761904,0.007554296506137866,,,,79.525,40056.8,68253.0,2.1199999999999997,36.980000000000004
1,63104,3250,ACAD OF ENVT SCI/MATH MIDDLE,3021 Hickey St. , Middle   ,278.6,4078506.7512,14.4,18.2,188.0,0.6357142857142857,0.0524048815506102,,,,73.825,43630.8,34664.0,4.5600000000000005,44.6
2,63110,4000,ADAMS ELEM.,1311 Tower Grove Avenue ,Elementary    ,278.4,4075578.892799999,11.4,16.8,278.4,0.5321428571428571,0.010057471264367816,,,,91.525,47780.0,64872.4,10.26,42.160000000000004
3,63107,4250,AMES VISUAL/PERF. ARTS,2900 Hadley ,Elementary    ,365.2,5346269.438399999,12.2,16.0,182.8,0.6125,0.002190580503833516,,,,98.0,49100.0,65820.0,13.26,50.059999999999995
4,63115,4060,ASHLAND ELEM. AND BR.,3921 N Newstead ,Elementary    ,313.0,4582098.396,12.2,17.0,280.2,0.55,0.023003194888178913,,,,88.05000000000001,46366.0,22405.0,10.040000000000001,43.4
5,63107,1250,BEAUMONT CTE HIGH SCHOOL,3836 Natural Bridge Avenue ,   High ,337.6,4942224.9792,13.0,23.8,197.8,0.32857142857142857,0.04443127962085308,43.462,15.16,0.02471169686985173,76.93333333333332,47740.0,74998.2,9.879999999999999,48.62
6,63113,4180,BRYAN HILL ELEM.,4342 Aldine ,Elementary    ,175.0,2561876.0999999996,10.4,14.8,182.8,0.7142857142857143,0.008,,,,76.4,45046.0,22291.0,7.659999999999999,48.6
7,63109,4200,BUDER ELEM.,5319 Lansdowne Avenue ,Elementary    ,330.2,4833894.218399999,10.8,13.6,200.2,0.7714285714285715,0.0,,,,93.775,46163.0,21771.4,9.879999999999999,45.32000000000001
8,63109,3050,BUSCH MS CHARACTER & ATHLETICS,5910 Clifton Avenue , Middle   ,347.0,5079834.323999999,16.6,21.0,354.0,0.8107142857142857,0.02190201729106628,,,,96.35000000000001,49165.6,93518.0,11.08,66.61999999999999
9,63118,1500,CARNAHAN SCHOOL OF THE FUTURE,4041 S Broadway ,   High ,374.4,5480950.924799999,14.2,24.2,187.4,0.819047619047619,0.03632478632478633,92.398,16.7,0.08584686774941995,91.925,45936.6,69529.0,7.1,66.32000000000001
10,63106,3070,CARR LANE VPA MIDDLE,1004 N Jefferson Avenue , Middle   ,566.8,8297550.705599998,15.0,20.8,283.8,0.5142857142857142,0.02611150317572336,,,,77.675,46063.8,67581.4,9.54,50.16
11,63139,1860,CENTRAL VISUAL/PERF. ARTS HIGH,3125 S Kingshighway Boulevard ,   High ,401.0,5870356.091999999,12.4,16.4,200.6,0.9154761904761904,0.011471321695760598,87.93800000000002,16.959999999999997,0.10091743119266056,90.1,45856.2,73151.2,8.48,41.86
12,63107,4360,CLAY ELEM.,3820 N 14th St. ,Elementary    ,140.8,2061212.3135999998,8.6,13.8,140.8,0.5571428571428572,0.0,,,,62.075,43447.4,68360.0,8.84,37.0
13,63139,1440,CLEVELAND NJROTC ACADEMY,3125 S Kingshighway,   High ,288.6,4224899.6712,11.8,15.8,144.6,0.9119047619047619,0.038808038808038806,100.83800000000001,16.48,0.10616438356164383,97.32499999999999,50362.2,86422.6,9.28,53.4
14,63108,4400,COLE ELEM.,3935 Enright Avenue ,Elementary    ,345.8,5062267.173599999,13.2,17.6,275.0,0.5928571428571429,0.014459224985540775,,,,73.425,43934.6,82436.8,5.9,48.739999999999995
15,63104,1510,COLLEGIATE SCHOOL OF MED/BIO,1547 S. Theresa Av ,   High ,142.25,2082439.2869999998,11.75,15.0,92.5,1.0,0.0017574692442882249,,22.7,0.5227272727272727,93.46666666666665,40547.25,92606.75,2.1,44.25
16,63106,4420,COLUMBIA ELEM. COMM. ED. CENTER,3120 St. Louis Avenue ,Elementary    ,176.6,2585298.9671999994,10.6,16.2,176.6,0.5107142857142857,0.007927519818799546,,,,88.7,45233.6,52907.8,6.6,46.54
17,63109,1222,COMMUNITY ACCESS JOB TRAINING,4915 Donovan Avenue ,   High ,133.6,1955809.4111999995,7.6,90.4,133.6,0.7038461538461539,0.0,25.323333333333334,,0.0,100.0,50892.0,72407.0,12.440000000000001,75.8
18,63110,3390,COMPTON-DREW ILC MIDDLE,5130 Oakland Avenue , Middle   ,502.0,7348924.583999999,15.0,20.4,251.2,0.7214285714285714,0.035856573705179286,,,,77.975,46980.6,52253.6,8.600000000000001,49.019999999999996
